,datetime,volume,low,close,high,open,open_interest,total_turnover,trading_date,sid,de_listed_date,maturity_date,option_type,strike_price,listed_date
0,2019-09-10 09:31:00,3.0,0.4393,0.4398,0.4398,0.4393,2652.0,13189.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
1,2019-09-10 09:32:00,1.0,0.4394,0.4394,0.4398,0.4398,2652.0,4394.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
2,2019-09-10 09:33:00,3.0,0.4262,0.4262,0.4394,0.4394,2652.0,12814.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
3,2019-09-10 09:34:00,16.0,0.4235,0.4242,0.4262,0.4262,2663.0,67858.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
4,2019-09-10 09:35:00,0.0,0.4242,0.4242,0.4242,0.4242,2663.0,0.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
5,2019-09-10 09:36:00,4.0,0.4236,0.4267,0.4267,0.4242,2664.0,17024.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
6,2019-09-10 09:37:00,6.0,0.4246,0.4246,0.4267,0.4267,2665.0,25493.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
7,2019-09-10 09:38:00,3.0,0.423,0.423,0.4254,0.4246,2667.0,12734.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
8,2019-09-10 09:39:00,76.0,0.4208,0.4208,0.423,0.423,2634.0,320708.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
9,2019-09-10 09:40:00,1.0,0.4208,0.4239,0.4239,0.4208,2635.0,4239.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
10,2019-09-10 09:41:00,27.0,0.4203,0.4203,0.4239,0.4239,2657.0,113546.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
11,2019-09-10 09:42:00,7.0,0.42,0.4212,0.4212,0.4203,2656.0,29468.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
12,2019-09-10 09:43:00,2.0,0.4212,0.4222,0.4222,0.4212,2656.0,8444.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
13,2019-09-10 09:44:00,11.0,0.4222,0.423,0.423,0.4222,2647.0,46480.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
14,2019-09-10 09:45:00,0.0,0.423,0.423,0.423,0.423,2647.0,0.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
15,2019-09-10 09:46:00,0.0,0.423,0.423,0.423,0.423,2647.0,0.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
16,2019-09-10 09:47:00,2.0,0.423,0.4244,0.4244,0.423,2646.0,8477.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
17,2019-09-10 09:48:00,1.0,0.424,0.424,0.4244,0.4244,2647.0,4240.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
18,2019-09-10 09:49:00,0.0,0.424,0.424,0.424,0.424,2647.0,0.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
19,2019-09-10 09:50:00,1.0,0.424,0.4266,0.4266,0.424,2647.0,4266.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
20,2019-09-10 09:51:00,0.0,0.4266,0.4266,0.4266,0.4266,2647.0,0.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
21,2019-09-10 09:52:00,0.0,0.4266,0.4266,0.4266,0.4266,2647.0,0.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
22,2019-09-10 09:53:00,0.0,0.4266,0.4266,0.4266,0.4266,2647.0,0.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
23,2019-09-10 09:54:00,1.0,0.4233,0.4233,0.4266,0.4266,2648.0,4233.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
24,2019-09-10 09:55:00,16.0,0.4227,0.4227,0.4233,0.4233,2641.0,67664.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
25,2019-09-10 09:56:00,1.0,0.4217,0.4217,0.4227,0.4227,2642.0,4217.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
26,2019-09-10 09:57:00,0.0,0.4217,0.4217,0.4217,0.4217,2642.0,0.0,2019-09-10,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
