,datetime,total_turnover,open_interest,volume,trading_date,low,open,high,close,sid,de_listed_date,maturity_date,option_type,strike_price,listed_date
0,2019-09-12 09:31:00,106342.0,2567.0,25.0,2019-09-12,0.4248,0.4309,0.4309,0.4268,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
1,2019-09-12 09:32:00,17212.0,2567.0,4.0,2019-09-12,0.4268,0.4268,0.4304,0.4304,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
2,2019-09-12 09:33:00,30198.0,2568.0,7.0,2019-09-12,0.4304,0.4304,0.4314,0.4314,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
3,2019-09-12 09:34:00,8588.0,2567.0,2.0,2019-09-12,0.4289,0.4314,0.4314,0.4299,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
4,2019-09-12 09:35:00,4303.0,2567.0,1.0,2019-09-12,0.4299,0.4299,0.4303,0.4303,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
5,2019-09-12 09:36:00,0.0,2567.0,0.0,2019-09-12,0.4303,0.4303,0.4303,0.4303,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
6,2019-09-12 09:37:00,90882.0,2583.0,21.0,2019-09-12,0.4303,0.4303,0.4338,0.4328,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
7,2019-09-12 09:38:00,112124.0,2577.0,26.0,2019-09-12,0.431,0.4328,0.4328,0.431,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
8,2019-09-12 09:39:00,129450.0,2547.0,30.0,2019-09-12,0.431,0.431,0.4316,0.4316,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
9,2019-09-12 09:40:00,0.0,2547.0,0.0,2019-09-12,0.4316,0.4316,0.4316,0.4316,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
10,2019-09-12 09:41:00,38246.0,2545.0,9.0,2019-09-12,0.4244,0.4316,0.4316,0.4244,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
11,2019-09-12 09:42:00,51049.0,2544.0,12.0,2019-09-12,0.4249,0.4249,0.4255,0.4255,10001685,2019-09-25,2019-09-25,C,2.6,2019-01-24
