,datetime,low,total_turnover,high,open,open_interest,volume,close,trading_date,sid,de_listed_date,maturity_date,option_type,strike_price,listed_date
0,2019-10-10 09:31:00,0.1069,13970.0,0.1111,0.1069,15040.0,13.0,0.1111,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
1,2019-10-10 09:32:00,0.1098,71775.0,0.1115,0.1111,15026.0,65.0,0.1098,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
2,2019-10-10 09:33:00,0.1099,127869.0,0.1107,0.1103,15027.0,116.0,0.1103,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
3,2019-10-10 09:34:00,0.1089,100028.0,0.1101,0.1101,15046.0,91.0,0.1089,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
4,2019-10-10 09:35:00,0.1087,3261.0,0.1087,0.1087,15049.0,3.0,0.1087,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
5,2019-10-10 09:36:00,0.1101,54087.0,0.1107,0.1102,15047.0,49.0,0.1107,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
6,2019-10-10 09:37:00,0.1107,43279.0,0.111,0.1107,15035.0,39.0,0.111,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
7,2019-10-10 09:38:00,0.1091,40759.0,0.111,0.111,15045.0,37.0,0.1091,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
8,2019-10-10 09:39:00,0.1083,86049.0,0.1094,0.1093,15014.0,79.0,0.1085,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
9,2019-10-10 09:40:00,0.1052,32730.0,0.1085,0.1085,15029.0,31.0,0.1055,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
10,2019-10-10 09:41:00,0.1055,24294.0,0.106,0.1056,15029.0,23.0,0.1055,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
11,2019-10-10 09:42:00,0.1055,76255.0,0.106,0.1055,15054.0,72.0,0.1058,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
12,2019-10-10 09:43:00,0.1058,54068.0,0.1062,0.1058,15097.0,51.0,0.1062,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
13,2019-10-10 09:44:00,0.1062,70624.0,0.1074,0.1062,15157.0,66.0,0.1074,2019-10-10,10001841,2019-12-25,2019-12-25,P,3.0,2019-04-25
