,de_listed_date,maturity_date,option_type,strike_price,listed_date,order_book_id
1680,2019-09-25,2019-09-25,C,2.6,2019-01-24,10001685
1681,2019-09-25,2019-09-25,P,2.35,2019-01-24,10001689
1682,2019-09-25,2019-09-25,P,2.55,2019-01-24,10001693
1683,2019-09-25,2019-09-25,C,2.7,2019-02-11,10001701
1684,2019-09-25,2019-09-25,C,2.85,2019-02-26,10001743
1685,2019-09-25,2019-09-25,C,3.0,2019-02-26,10001746
1686,2019-09-25,2019-09-25,P,2.85,2019-02-26,10001747
1687,2019-09-25,2019-09-25,P,2.95,2019-02-26,10001749
1688,2019-09-25,2019-09-25,C,3.2,2019-04-04,10001809
1689,2019-12-25,2019-12-25,P,3.0,2019-04-25,10001841
1690,2019-12-25,2019-12-25,P,3.1,2019-04-25,10001842
1691,2019-12-25,2019-12-25,P,2.65,2019-05-07,10001850
1692,2019-07-24,2019-07-24,C,2.5,2019-05-23,10001855
1693,2019-07-24,2019-07-24,C,2.85,2019-05-23,10001862
1694,2019-07-24,2019-07-24,P,3.2,2019-06-21,10001881
1695,2019-07-24,2019-07-24,P,3.3,2019-06-21,10001882
1696,2019-08-28,2019-08-28,C,3.1,2019-06-27,10001890
1697,2019-08-28,2019-08-28,C,3.2,2019-06-27,10001891
1698,2019-08-28,2019-08-28,P,2.7,2019-06-27,10001892
1699,2019-08-28,2019-08-28,P,2.8,2019-06-27,10001894
1700,2019-08-28,2019-08-28,P,3.2,2019-06-27,10001900
1701,2019-08-28,2019-08-28,C,3.3,2019-06-28,10001901
1702,2019-08-28,2019-08-28,P,3.3,2019-06-28,10001902
1703,2019-08-28,2019-08-28,P,3.4,2019-07-02,10001906
1704,2019-09-25,2019-09-25,C,2.45,2019-01-24,10001682
1705,2019-09-25,2019-09-25,C,2.5,2019-01-24,10001683
1706,2019-09-25,2019-09-25,P,2.25,2019-01-24,10001687
1707,2019-09-25,2019-09-25,P,2.3,2019-01-24,10001688
1708,2019-09-25,2019-09-25,P,2.45,2019-01-24,10001691
1709,2019-09-25,2019-09-25,C,2.75,2019-02-14,10001709
1710,2019-09-25,2019-09-25,P,2.75,2019-02-14,10001710
1711,2019-09-25,2019-09-25,C,2.8,2019-02-21,10001717
1712,2019-09-25,2019-09-25,P,3.2,2019-04-04,10001810
1713,2019-09-25,2019-09-25,C,3.3,2019-04-08,10001817
1714,2019-09-25,2019-09-25,P,3.3,2019-04-08,10001818
1715,2019-09-25,2019-09-25,C,3.4,2019-04-17,10001825
1716,2019-12-25,2019-12-25,C,2.75,2019-04-25,10001827
1717,2019-12-25,2019-12-25,C,2.8,2019-04-25,10001828
1718,2019-12-25,2019-12-25,C,2.9,2019-04-25,10001830
1719,2019-12-25,2019-12-25,C,2.95,2019-04-25,10001831
1720,2019-12-25,2019-12-25,C,3.1,2019-04-25,10001833
1721,2019-12-25,2019-12-25,P,2.75,2019-04-25,10001836
1722,2019-12-25,2019-12-25,P,2.85,2019-04-25,10001838
1723,2019-12-25,2019-12-25,P,2.95,2019-04-25,10001840
1724,2019-12-25,2019-12-25,C,2.7,2019-04-26,10001845
1725,2019-12-25,2019-12-25,P,2.7,2019-04-26,10001846
1726,2019-07-24,2019-07-24,C,2.55,2019-05-23,10001856
1727,2019-07-24,2019-07-24,P,2.8,2019-05-23,10001870
1728,2019-07-24,2019-07-24,P,2.85,2019-05-23,10001871
1729,2019-07-24,2019-07-24,C,3.0,2019-06-12,10001875
1730,2019-07-24,2019-07-24,P,3.0,2019-06-12,10001876
1731,2019-07-24,2019-07-24,C,3.2,2019-06-21,10001879
1732,2019-07-24,2019-07-24,C,3.3,2019-06-21,10001880
