,price,date
2015-02-10,28.75,2015-02-10
2015-02-11,26.44,2015-02-11
2015-02-12,25.8,2015-02-12
2015-02-13,23.41,2015-02-13
2015-02-14,23.41,2015-02-13
2015-02-15,23.41,2015-02-13
2015-02-16,23.71,2015-02-16
2015-02-17,24.3,2015-02-17
2015-02-18,24.3,2015-02-17
2015-02-19,24.3,2015-02-17
2015-02-20,24.3,2015-02-17
2015-02-21,24.3,2015-02-17
2015-02-22,24.3,2015-02-17
2015-02-23,24.3,2015-02-17
2015-02-24,24.3,2015-02-17
2015-02-25,26.33,2015-02-25
2015-02-26,26.1,2015-02-26
2015-02-27,27.04,2015-02-27
2015-02-28,27.04,2015-02-27
2015-03-01,27.04,2015-02-27
2015-03-02,28.05,2015-03-02
2015-03-03,28.45,2015-03-03
2015-03-04,27.68,2015-03-04
2015-03-05,26.67,2015-03-05
2015-03-06,26.47,2015-03-06
2015-03-07,26.47,2015-03-06
2015-03-08,26.47,2015-03-06
2015-03-09,27.22,2015-03-09
2015-03-10,26.22,2015-03-10
2015-03-11,25.86,2015-03-11
2015-03-12,25.93,2015-03-12
2015-03-13,25.01,2015-03-13
2015-03-14,25.01,2015-03-13
2015-03-15,25.01,2015-03-13
2015-03-16,25.14,2015-03-16
2015-03-17,25.25,2015-03-17
2015-03-18,25.14,2015-03-18
2015-03-19,27.3,2015-03-19
2015-03-20,26.47,2015-03-20
2015-03-21,26.47,2015-03-20
2015-03-22,26.47,2015-03-20
2015-03-23,28.76,2015-03-23
2015-03-24,30.67,2015-03-24
2015-03-25,30.16,2015-03-25
2015-03-26,29.06,2015-03-26
2015-03-27,29.28,2015-03-27
2015-03-28,29.28,2015-03-27
2015-03-29,29.28,2015-03-27
2015-03-30,27.87,2015-03-30
2015-03-31,30.09,2015-03-31
2015-04-01,30.36,2015-04-01
2015-04-02,31.77,2015-04-02
2015-04-03,31.17,2015-04-03
2015-04-04,31.17,2015-04-03
2015-04-05,31.17,2015-04-03
2015-04-06,31.17,2015-04-03
2015-04-07,29.51,2015-04-07
2015-04-08,31.98,2015-04-08
2015-04-09,35.06,2015-04-09
2015-04-10,33.41,2015-04-10
2015-04-11,33.41,2015-04-10
2015-04-12,33.41,2015-04-10
2015-04-13,36.86,2015-04-13
2015-04-14,40.15,2015-04-14
2015-04-15,40.13,2015-04-15
2015-04-16,37.36,2015-04-16
2015-04-17,41.57,2015-04-17
2015-04-18,41.57,2015-04-17
2015-04-19,41.57,2015-04-17
2015-04-20,47.75,2015-04-20
2015-04-21,46.9,2015-04-21
2015-04-22,44.28,2015-04-22
2015-04-23,44.72,2015-04-23
2015-04-24,45.65,2015-04-24
2015-04-25,45.65,2015-04-24
2015-04-26,45.65,2015-04-24
2015-04-27,44.88,2015-04-27
2015-04-28,46.59,2015-04-28
2015-04-29,46.61,2015-04-29
2015-04-30,46.55,2015-04-30
2015-05-01,46.55,2015-04-30
2015-05-02,46.55,2015-04-30
2015-05-03,46.55,2015-04-30
2015-05-04,46.13,2015-05-04
2015-05-05,45.46,2015-05-05
2015-05-06,45.55,2015-05-06
2015-05-07,46.78,2015-05-07
2015-05-08,44.97,2015-05-08
2015-05-09,44.97,2015-05-08
2015-05-10,44.97,2015-05-08
2015-05-11,45.78,2015-05-11
2015-05-12,45.97,2015-05-12
2015-05-13,46.03,2015-05-13
2015-05-14,44.96,2015-05-14
2015-05-15,41.44,2015-05-15
2015-05-16,41.44,2015-05-15
2015-05-17,41.44,2015-05-15
2015-05-18,37.48,2015-05-18
2015-05-19,37.28,2015-05-19
2015-05-20,41.52,2015-05-20
2015-05-21,42.05,2015-05-21
2015-05-22,43.01,2015-05-22
2015-05-23,43.01,2015-05-22
2015-05-24,43.01,2015-05-22
2015-05-25,45.8,2015-05-25
2015-05-26,45.81,2015-05-26
2015-05-27,46.91,2015-05-27
2015-05-28,46.63,2015-05-28
2015-05-29,47.29,2015-05-29
2015-05-30,47.29,2015-05-29
2015-05-31,47.29,2015-05-29
2015-06-01,47.22,2015-06-01
2015-06-02,47.61,2015-06-02
2015-06-03,47.9,2015-06-03
2015-06-04,46.57,2015-06-04
2015-06-05,46.6,2015-06-05
